width,height,url_length,is_iframe,is_ad
321,66,56,0,0
597,91,74,0,0
20,20,53,0,0
97,20,70,0,0
970,250,0,1,1
964,544,83,0,0
308,450,82,0,0
154,115,82,0,0
154,115,142,0,0
154,115,83,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
308,328,77,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
636,382,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,142,0,0
154,115,141,0,0
636,382,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
636,382,113,0,0
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
636,382,82,0,0
154,115,83,0,0
154,115,83,0,0
636,382,82,0,0
154,115,83,0,0
154,115,82,0,0
636,382,83,0,0
154,115,142,0,0
154,115,130,0,0
636,382,82,0,0
154,115,82,0,0
154,115,82,0,0
636,382,82,0,0
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
636,382,83,0,0
154,115,83,0,0
154,115,141,0,0
636,382,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
636,382,82,0,0
154,115,83,0,0
154,115,83,0,0
636,382,82,0,0
154,115,83,0,0
154,115,84,0,0
164,292,83,0,0
164,292,77,0,0
164,292,77,0,0
164,292,82,0,0
164,292,82,0,0
164,292,77,0,0
636,382,83,0,0
154,115,83,0,0
154,115,92,0,0
636,382,83,0,0
154,115,141,0,0
154,115,141,0,0
636,382,82,0,0
154,115,82,0,0
154,115,84,0,0
636,382,82,0,0
154,115,83,0,0
154,115,82,0,0
636,382,83,0,0
154,115,83,0,0
154,115,82,0,0
636,382,83,0,0
154,115,82,0,0
154,115,82,0,0
636,382,83,0,0
154,115,82,0,0
154,115,82,0,0
636,150,72,0,1
636,386,55,0,1
636,460,119,1,1
290,171,83,0,0
47,85,83,0,0
48,85,82,0,0
50,85,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,77,0,0
154,115,82,0,0
300,600,0,0,1
300,250,0,0,1
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,77,0,0
154,115,83,0,0
300,600,0,0,1
300,250,0,0,1
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,92,0,0
